#CGMF SUMMARY FILE
#Generated: 2017-06-15 18:27
#Number of CGMF Output Files: 64
#
#File				# Hist	<TXE>	1sig		<TKE>	1sig		<J>		1sig		<nn>	n-mom2	n-mom3	<ng>	g-mom2	g-mom3	<En>	1sig		<Eg>	1sig
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
output62.txt		10000	33.191	9.869E+00	184.847	1.081E+01	10.905	6.087E+00	3.892	13.066	37.281	9.528	96.042	1020.21	1.856	1.569E+00	0.876	9.114E-03
output47.txt		10000	33.193	9.812E+00	184.832	1.075E+01	10.814	6.035E+00	3.882	12.993	36.923	9.450	94.334	989.84	1.869	1.580E+00	0.888	9.182E-03
output13.txt		10000	33.264	9.810E+00	184.661	1.071E+01	10.829	6.096E+00	3.901	13.105	37.404	9.458	94.395	991.29	1.867	1.581E+00	0.880	9.167E-03
output17.txt		10000	33.098	9.895E+00	184.907	1.071E+01	10.757	6.032E+00	3.866	12.868	36.437	9.425	94.057	987.84	1.876	1.572E+00	0.890	9.183E-03
output35.txt		10000	33.334	9.993E+00	184.717	1.071E+01	10.922	6.064E+00	3.899	13.151	37.877	9.501	95.551	1011.33	1.893	1.590E+00	0.878	9.151E-03
output61.txt		10000	33.065	9.866E+00	184.917	1.072E+01	10.860	6.033E+00	3.881	13.009	37.073	9.504	95.491	1008.79	1.865	1.580E+00	0.876	9.139E-03
output19.txt		10000	32.964	9.713E+00	185.028	1.066E+01	10.766	6.045E+00	3.858	12.805	36.061	9.416	93.682	979.26	1.863	1.576E+00	0.889	9.213E-03
output18.txt		10000	33.165	9.865E+00	184.849	1.072E+01	10.850	6.066E+00	3.880	12.987	36.946	9.475	94.868	998.29	1.869	1.580E+00	0.883	9.156E-03
output38.txt		10000	33.154	9.863E+00	184.911	1.066E+01	10.834	6.074E+00	3.875	12.944	36.755	9.481	94.961	1000.28	1.881	1.588E+00	0.886	9.197E-03
output31.txt		10000	33.249	9.870E+00	184.846	1.071E+01	10.832	6.062E+00	3.896	13.148	37.877	9.431	94.025	984.57	1.873	1.585E+00	0.881	9.132E-03
output41.txt		10000	33.177	9.872E+00	184.918	1.072E+01	10.837	6.079E+00	3.882	12.976	36.842	9.479	95.249	1009.74	1.873	1.592E+00	0.885	9.175E-03
output64.txt		6303	33.079	9.785E+00	185.014	1.070E+01	10.832	6.030E+00	3.875	12.949	36.746	9.513	95.703	1016.28	1.854	1.556E+00	0.877	1.145E-02
output7.txt			10000	33.368	9.780E+00	184.677	1.071E+01	10.819	6.133E+00	3.903	13.095	37.200	9.497	95.569	1015.09	1.867	1.571E+00	0.885	9.189E-03
